cod_ibge;municipio;ano;pop_urb;pop_rur;pop_tot;grau_urb
3552908;Taciba;2040;5852;504;6356;92,07
3553005;Taguaí;2040;11471;4542;16013;71,64
3553104;Taiaçu;2040;5781;258;6039;95,73
3553203;Taiúva;2040;5601;227;5828;96,11
3553302;Tambaú;2040;21821;1237;23058;94,64
3553401;Tanabi;2040;23090;1502;24592;93,89
3553500;Tapiraí;2040;6381;1459;7840;81,39
3553609;Tapiratiba;2040;11668;498;12166;95,91
3553658;Taquaral;2040;2668;59;2727;97,84
3553708;Taquaritinga;2040;51783;1601;53384;97
3553807;Taquarituba;2040;22539;1133;23672;95,21
3553856;Taquarivaí;2040;4310;2343;6653;64,78
3553906;Tarabaí;2040;7718;325;8043;95,96
3553955;Tarumã;2040;16039;757;16796;95,49
3554003;Tatuí;2040;133740;1975;135715;98,54
3554102;Taubaté;2040;321890;6684;328574;97,97
3554201;Tejupá;2040;4388;453;4841;90,64
3554300;Teodoro Sampaio;2040;19958;3430;23388;85,33
3554409;Terra Roxa;2040;9404;309;9713;96,82
3554508;Tietê;2040;42044;3553;45597;92,21
